timestamp,object_x,error,turn_vel,left_setpoint,right_setpoint,object_found,robot_x,robot_y,robot_theta
4.16008,224.246,-64.2461,-1.28492,-3.28492,3.28492,1,0.203992,1.48236e-06,1.29036e-05
4.18005,224.246,-64.2461,-1.28492,-3.28492,3.28492,1,0.206822,1.519e-06,1.29018e-05
4.20007,227.904,-67.904,-1.35808,-3.35808,3.35808,1,0.209837,1.55798e-06,1.29001e-05
4.22084,227.904,-67.904,-1.35808,-3.35808,3.35808,1,0.212579,1.59344e-06,1.28989e-05
4.24014,227.904,-67.904,-1.35808,-3.35808,3.35808,1,0.215508,1.6313e-06,1.28977e-05
4.26007,233.327,-73.3271,-1.46654,-3.46654,3.46654,1,0.218458,1.66939e-06,1.28967e-05
4.28007,233.327,-73.3271,-1.46654,-3.46654,3.46654,1,0.221437,1.70786e-06,1.28958e-05
4.30007,233.327,-73.3271,-1.46654,-3.46654,3.46654,1,0.22462,1.74897e-06,1.2895e-05
4.32008,239.171,-79.1706,-1.58341,-3.58341,3.58341,1,0.227509,1.78626e-06,1.28944e-05
4.34011,239.171,-79.1706,-1.58341,-3.58341,3.58341,1,0.230591,1.82603e-06,1.28939e-05
4.36006,239.171,-79.1706,-1.58341,-3.58341,3.58341,1,0.233723,1.86644e-06,1.28934e-05
4.38007,243.771,-83.7711,-1.67542,-3.67542,3.67542,1,0.236882,1.9072e-06,1.2893e-05
4.40007,243.771,-83.7711,-1.67542,-3.67542,3.67542,1,0.240243,1.95055e-06,1.28926e-05
4.42007,243.771,-83.7711,-1.67542,-3.67542,3.67542,1,0.243306,1.99006e-06,1.28923e-05
4.44011,247.865,-87.8649,-1.7573,-3.7573,3.7573,1,0.24656,2.03202e-06,1.2892e-05
4.46007,247.865,-87.8649,-1.7573,-3.7573,3.7573,1,0.24984,2.07432e-06,1.28918e-05
4.48007,251.545,-91.5451,-1.8309,-3.8309,3.8309,1,0.252981,2.11483e-06,1.28916e-05
4.50006,251.545,-91.5451,-1.8309,-3.8309,3.8309,1,0.256329,2.158e-06,1.28914e-05
4.52034,251.545,-91.5451,-1.8309,-3.8309,3.8309,1,0.259714,2.20165e-06,1.28913e-05
4.54011,256.027,-96.0266,-1.92053,-3.92053,3.92053,1,0.26312,2.24557e-06,1.28912e-05
4.56007,256.027,-96.0266,-1.92053,-3.92053,3.92053,1,0.266553,2.28982e-06,1.2891e-05
4.58012,256.027,-96.0266,-1.92053,-3.92053,3.92053,1,0.270024,2.33458e-06,1.2891e-05
4.60007,261.497,-101.497,-2.02994,-4.02994,4.02994,1,0.2737,2.38197e-06,1.28909e-05
4.62006,261.497,-101.497,-2.02994,-4.02994,4.02994,1,0.277039,2.42501e-06,1.28908e-05
4.64012,266.288,-106.288,-2.12576,-4.12576,4.12576,1,0.280607,2.47102e-06,1.28907e-05
4.66007,266.288,-106.288,-2.12576,-4.12576,4.12576,1,0.284218,2.51756e-06,1.28907e-05
