timestamp,object_x,object_y,error_th,error_x,th_set,x_set,left_vel,right_vel,object_found,robot_x,robot_y,robot_theta
6.82013,0,0,45,45,0,0,0,0,0,0,0,0
6.84013,0,0,45,45,0,0,0,0,0,0,0,0
6.86013,0,0,45,45,0,0,0,0,0,0,0,0
6.88016,0,0,45,45,0,0,0,0,0,0,0,0
6.90013,0,0,45,45,0,0,0,0,0,0,0,0
6.92014,0,0,45,45,0,0,0,0,0,0,0,0
6.94019,0,0,45,45,0,0,0,0,0,0,0,0
6.96015,0,0,45,45,0,0,0,0,0,0,0,0
6.98017,0,0,45,45,0,0,0,0,0,0,0,0
7.00016,0,0,45,45,0,0,0,0,0,0,0,0
7.02012,0,0,45,45,0,0,0,0,0,0,0,0
7.04018,0,0,45,45,0,0,0,0,0,0,0,0
7.06013,0,0,45,45,0,0,0,0,0,0,0,0
7.08013,0,0,45,45,0,0,0,0,0,0,0,0
7.10013,0,0,45,45,0,0,0,0,0,0,0,0
7.12015,0,0,45,45,0,0,0,0,0,0,0,0
7.14024,0,0,45,45,0,0,0,0,0,0,0,0
7.16012,0,0,45,45,0,0,0,0,0,0,0,0
7.18012,0,0,45,45,0,0,0,0,0,0,0,0
7.20016,0,0,45,45,0,0,0,0,0,0,0,0
7.22013,0,0,45,45,0,0,0,0,0,0,0,0
7.24014,0,0,45,45,0,0,0,0,0,0,0,0
7.26013,0,0,45,45,0,0,0,0,0,0,0,0
7.28011,0,0,45,45,0,0,0,0,0,0,0,0
7.30014,0,0,45,45,0,0,0,0,0,0,0,0
7.32014,0,0,45,45,0,0,0,0,0,0,0,0
7.34012,0,0,45,45,0,0,0,0,0,0,0,0
7.36014,0,0,45,45,0,0,0,0,0,0,0,0
7.38019,0,0,45,45,0,0,0,0,0,0,0,0
7.40013,0,0,45,45,0,0,0,0,0,0,0,0
7.42016,0,0,45,45,0,0,0,0,0,0,0,0
7.44013,0,0,45,45,0,0,0,0,0,0,0,0
7.46012,0,0,45,45,0,0,0,0,0,0,0,0
7.48013,0,0,45,45,0,0,0,0,0,0,0,0
7.50013,0,0,45,45,0,0,0,0,0,0,0,0
7.52013,0,0,45,45,0,0,0,0,0,0,0,0
7.54015,0,0,45,45,0,0,0,0,0,0,0,0
7.56014,0,0,45,45,0,0,0,0,0,0,0,0
7.58012,0,0,45,45,0,0,0,0,0,0,0,0
7.60013,0,0,45,45,0,0,0,0,0,0,0,0
7.62013,0,0,45,45,0,0,0,0,0,0,0,0
7.64013,0,0,45,45,0,0,0,0,0,0,0,0
7.66013,0,0,45,45,0,0,0,0,0,0,0,0
7.6802,0,0,45,45,0,0,0,0,0,0,0,0
7.70012,0,0,45,45,0,0,0,0,0,0,0,0
7.72014,0,0,45,45,0,0,0,0,0,0,0,0
7.74014,0,0,45,45,0,0,0,0,0,0,0,0
7.76014,0,0,45,45,0,0,0,0,0,0,0,0
7.78013,0,0,45,45,0,0,0,0,0,0,0,0
7.80014,0,0,45,45,0,0,0,0,0,0,0,0
7.82017,0,0,45,45,0,0,0,0,0,0,0,0
7.84013,0,0,45,45,0,0,0,0,0,0,0,0
7.86015,0,0,45,45,0,0,0,0,0,0,0,0
7.88012,0,0,45,45,0,0,0,0,0,0,0,0
